dataset,classifier,accuracy_mean,balanced_accuracy_mean,precision_macro_mean,recall_macro_mean,f1_macro_mean
lbp_orig,KNN,0.405,0.3792,0.4502,0.3792,0.385
lbp_orig,SVM,0.45,0.4208,0.4733,0.4208,0.4209
lbp_orig,DecisionTree,0.42,0.4042,0.419,0.4042,0.4055
lbp_orig,RandomForest,0.455,0.4292,0.4658,0.4292,0.4338
lbp_orig,MLP,0.5,0.4917,0.5013,0.4917,0.4903
lbp_orig,GradientBoosting,0.425,0.4,0.4135,0.4,0.4016
hu_orig,KNN,0.42,0.4125,0.4667,0.4125,0.4219
hu_orig,SVM,0.505,0.5,0.5509,0.5,0.5137
hu_orig,DecisionTree,0.43,0.425,0.4301,0.425,0.4185
hu_orig,RandomForest,0.515,0.5208,0.5492,0.5208,0.5251
hu_orig,MLP,0.495,0.5042,0.5256,0.5042,0.512
hu_orig,GradientBoosting,0.425,0.425,0.4472,0.425,0.4288
glcm_orig,KNN,0.49,0.4792,0.5101,0.4792,0.4852
glcm_orig,SVM,0.475,0.4792,0.4946,0.4792,0.4722
glcm_orig,DecisionTree,0.435,0.4208,0.4464,0.4208,0.4261
glcm_orig,RandomForest,0.48,0.475,0.5036,0.475,0.4811
glcm_orig,MLP,0.505,0.525,0.5349,0.525,0.5263
glcm_orig,GradientBoosting,0.46,0.4625,0.4967,0.4625,0.4692
lbp_mask,KNN,0.505,0.5292,0.5643,0.5292,0.5354
lbp_mask,SVM,0.59,0.6,0.6332,0.6,0.61
lbp_mask,DecisionTree,0.535,0.5583,0.5594,0.5583,0.5506
lbp_mask,RandomForest,0.545,0.5667,0.5853,0.5667,0.5646
lbp_mask,MLP,0.595,0.6125,0.6482,0.6125,0.6218
lbp_mask,GradientBoosting,0.56,0.5958,0.6026,0.5958,0.5914
hu_mask,KNN,0.36,0.3292,0.3988,0.3292,0.3269
hu_mask,SVM,0.45,0.4,0.4893,0.4,0.391
hu_mask,DecisionTree,0.38,0.3625,0.3618,0.3625,0.3584
hu_mask,RandomForest,0.46,0.4208,0.4779,0.4208,0.4205
hu_mask,MLP,0.38,0.3625,0.3811,0.3625,0.3606
hu_mask,GradientBoosting,0.385,0.3542,0.3629,0.3542,0.3534
glcm_mask,KNN,0.51,0.5208,0.5759,0.5208,0.5326
glcm_mask,SVM,0.57,0.5792,0.6415,0.5792,0.5936
glcm_mask,DecisionTree,0.515,0.5375,0.551,0.5375,0.5378
glcm_mask,RandomForest,0.515,0.5417,0.5584,0.5417,0.542
glcm_mask,MLP,0.56,0.5708,0.6162,0.5708,0.5735
glcm_mask,GradientBoosting,0.58,0.5875,0.6357,0.5875,0.5958
